颱風編號,測站,日期,觀測時間(hour),風速(m/s),降水量(mm)
201506,466900,2015/5/10,1,0.0,0
201506,466900,2015/5/10,2,1.7,0
201506,466900,2015/5/10,3,3.1,0
201506,466900,2015/5/10,4,2.0,0
201506,466900,2015/5/10,5,1.3,0
201506,466900,2015/5/10,6,0.2,0
201506,466900,2015/5/10,7,4.1,0
201506,466900,2015/5/10,8,3.8,0
201506,466900,2015/5/10,9,3.7,0
201506,466900,2015/5/10,10,1.9,0
201506,466900,2015/5/10,11,4.6,0
201506,466900,2015/5/10,12,3.8,0
201506,466900,2015/5/10,13,3.9,0
201506,466900,2015/5/10,14,3.0,0
201506,466900,2015/5/10,15,2.9,0
201506,466900,2015/5/10,16,1.9,0
201506,466900,2015/5/10,17,0.6,0
201506,466900,2015/5/10,18,0.5,0
201506,466900,2015/5/10,19,0.1,0
201506,466900,2015/5/10,20,1.5,0
201506,466900,2015/5/10,21,1.1,0
201506,466900,2015/5/10,22,0.3,0
201506,466900,2015/5/10,23,0.0,0
201506,466900,2015/5/10,24,0.2,0
201506,466900,2015/5/11,1,0.3,0
201506,466900,2015/5/11,2,0.7,0
201506,466900,2015/5/11,3,0.2,0
201506,466900,2015/5/11,4,0.0,0
201506,466900,2015/5/11,5,1.9,0
201506,466900,2015/5/11,6,1.8,0
201506,466900,2015/5/11,7,0.8,0
201506,466900,2015/5/11,8,1.7,0
201506,466900,2015/5/11,9,1.1,0
201506,466900,2015/5/11,10,2.2,0
201506,466900,2015/5/11,11,1.7,0
201506,466900,2015/5/11,12,1.3,0
201506,466900,2015/5/11,13,1.1,0
201506,466900,2015/5/11,14,1.1,T
201506,466900,2015/5/11,15,2.5,0
201506,466900,2015/5/11,16,1.9,0
201506,466900,2015/5/11,17,0.8,0
201506,466900,2015/5/11,18,2.0,0
201506,466900,2015/5/11,19,0.8,0
201506,466900,2015/5/11,20,1.0,0
201506,466900,2015/5/11,21,0.5,T
201506,466900,2015/5/11,22,0.1,0
201506,466900,2015/5/11,23,1.1,0
201506,466900,2015/5/11,24,2.3,0
201506,466920,2015/5/10,1,3.0,0
201506,466920,2015/5/10,2,4.6,0
201506,466920,2015/5/10,3,3.7,0
201506,466920,2015/5/10,4,4.8,0
201506,466920,2015/5/10,5,4.0,0
201506,466920,2015/5/10,6,4.3,0
201506,466920,2015/5/10,7,4.4,0
201506,466920,2015/5/10,8,5.3,0
201506,466920,2015/5/10,9,4.8,0
201506,466920,2015/5/10,10,4.2,0
201506,466920,2015/5/10,11,5.3,0
201506,466920,2015/5/10,12,5.0,0
