颱風編號,颱風名稱,測站,測站類型,累積結束時間,累積雨量
201506,紅霞(NOUL),466880板橋,cwahr,2015/5/11 16:00,1
201506,紅霞(NOUL),466910鞍部,cwahr,2015/5/10 09:00,0.1
201506,紅霞(NOUL),466910鞍部,cwahr,2015/5/11 14:00,0.2
201506,紅霞(NOUL),466910鞍部,cwahr,2015/5/11 15:00,0.1
201506,紅霞(NOUL),466910鞍部,cwahr,2015/5/11 16:00,0.1
201506,紅霞(NOUL),466920臺北,cwahr,2015/5/11 11:00,0.1
201506,紅霞(NOUL),466920臺北,cwahr,2015/5/11 12:00,0.1
201506,紅霞(NOUL),466920臺北,cwahr,2015/5/11 13:00,0.1
201506,紅霞(NOUL),466920臺北,cwahr,2015/5/11 14:00,0.2
201506,紅霞(NOUL),466920臺北,cwahr,2015/5/11 16:00,0.3
201506,紅霞(NOUL),466920臺北,cwahr,2015/5/11 17:00,0.1
201506,紅霞(NOUL),466930竹子湖,cwahr,2015/5/11 11:00,0.1
201506,紅霞(NOUL),466930竹子湖,cwahr,2015/5/11 13:00,0.2
201506,紅霞(NOUL),466930竹子湖,cwahr,2015/5/11 14:00,0.2
201506,紅霞(NOUL),466930竹子湖,cwahr,2015/5/11 15:00,0.4
201506,紅霞(NOUL),466930竹子湖,cwahr,2015/5/11 16:00,0.2
201506,紅霞(NOUL),466930竹子湖,cwahr,2015/5/11 17:00,0.1
201506,紅霞(NOUL),466940基隆,cwahr,2015/5/10 08:00,2.3
201506,紅霞(NOUL),466940基隆,cwahr,2015/5/10 09:00,3.9
201506,紅霞(NOUL),466940基隆,cwahr,2015/5/10 10:00,0.8
201506,紅霞(NOUL),466940基隆,cwahr,2015/5/10 11:00,0.9
201506,紅霞(NOUL),466940基隆,cwahr,2015/5/10 12:00,1.7
201506,紅霞(NOUL),466940基隆,cwahr,2015/5/10 13:00,2.4
201506,紅霞(NOUL),466940基隆,cwahr,2015/5/10 14:00,0.1
201506,紅霞(NOUL),466950彭佳嶼,cwahr,2015/5/10 08:00,0.1
201506,紅霞(NOUL),466950彭佳嶼,cwahr,2015/5/10 15:00,0.3
201506,紅霞(NOUL),466950彭佳嶼,cwahr,2015/5/10 23:00,0.1
201506,紅霞(NOUL),466950彭佳嶼,cwahr,2015/5/11 14:00,0.2
201506,紅霞(NOUL),466950彭佳嶼,cwahr,2015/5/11 15:00,0.1
201506,紅霞(NOUL),466990花蓮,cwahr,2015/5/11 10:00,1
201506,紅霞(NOUL),466990花蓮,cwahr,2015/5/11 11:00,5.5
201506,紅霞(NOUL),466990花蓮,cwahr,2015/5/11 12:00,6.5
201506,紅霞(NOUL),466990花蓮,cwahr,2015/5/11 13:00,4
201506,紅霞(NOUL),466990花蓮,cwahr,2015/5/11 14:00,1
201506,紅霞(NOUL),467060蘇澳,cwahr,2015/5/10 23:59,0.4
201506,紅霞(NOUL),467060蘇澳,cwahr,2015/5/11 12:00,0.3
201506,紅霞(NOUL),467060蘇澳,cwahr,2015/5/11 13:00,2
201506,紅霞(NOUL),467060蘇澳,cwahr,2015/5/11 14:00,3
201506,紅霞(NOUL),467060蘇澳,cwahr,2015/5/11 16:00,0.2
201506,紅霞(NOUL),467080宜蘭,cwahr,2015/5/11 12:00,0.7
201506,紅霞(NOUL),467080宜蘭,cwahr,2015/5/11 13:00,0.8
201506,紅霞(NOUL),467080宜蘭,cwahr,2015/5/11 14:00,0.2
201506,紅霞(NOUL),467530阿里山,cwahr,2015/5/10 16:00,7
201506,紅霞(NOUL),467530阿里山,cwahr,2015/5/10 17:00,0.5
201506,紅霞(NOUL),467530阿里山,cwahr,2015/5/11 13:00,0.5
201506,紅霞(NOUL),467530阿里山,cwahr,2015/5/11 14:00,0.5
201506,紅霞(NOUL),467540大武,cwahr,2015/5/11 06:00,4
201506,紅霞(NOUL),467540大武,cwahr,2015/5/11 07:00,2
201506,紅霞(NOUL),467540大武,cwahr,2015/5/11 08:00,1
201506,紅霞(NOUL),467540大武,cwahr,2015/5/11 09:00,2.5
201506,紅霞(NOUL),467540大武,cwahr,2015/5/11 10:00,1
201506,紅霞(NOUL),467540大武,cwahr,2015/5/11 11:00,5.5
201506,紅霞(NOUL),467540大武,cwahr,2015/5/11 12:00,5
201506,紅霞(NOUL),467540大武,cwahr,2015/5/11 14:00,0.5
201506,紅霞(NOUL),467550玉山,cwahr,2015/5/10 14:00,2.8
201506,紅霞(NOUL),467550玉山,cwahr,2015/5/10 15:00,5.9
201506,紅霞(NOUL),467550玉山,cwahr,2015/5/10 16:00,0.9
201506,紅霞(NOUL),467550玉山,cwahr,2015/5/11 11:00,0.7
201506,紅霞(NOUL),467550玉山,cwahr,2015/5/11 12:00,2
201506,紅霞(NOUL),467550玉山,cwahr,2015/5/11 13:00,1.8
201506,紅霞(NOUL),467550玉山,cwahr,2015/5/11 14:00,0.4
201506,紅霞(NOUL),467550玉山,cwahr,2015/5/11 15:00,1.5
201506,紅霞(NOUL),467550玉山,cwahr,2015/5/11 16:00,3.5
201506,紅霞(NOUL),467550玉山,cwahr,2015/5/11 17:00,1.7
201506,紅霞(NOUL),467550玉山,cwahr,2015/5/11 18:00,0.1
201506,紅霞(NOUL),467550玉山,cwahr,2015/5/11 19:00,0.4
201506,紅霞(NOUL),467550玉山,cwahr,2015/5/11 20:00,0.2
201506,紅霞(NOUL),467590恆春,cwahr,2015/5/11 03:00,2
201506,紅霞(NOUL),467590恆春,cwahr,2015/5/11 04:00,1
201506,紅霞(NOUL),467590恆春,cwahr,2015/5/11 05:00,4
201506,紅霞(NOUL),467590恆春,cwahr,2015/5/11 06:00,4.5
201506,紅霞(NOUL),467590恆春,cwahr,2015/5/11 07:00,1.5
201506,紅霞(NOUL),467590恆春,cwahr,2015/5/11 08:00,1
201506,紅霞(NOUL),467590恆春,cwahr,2015/5/11 09:00,1.2
201506,紅霞(NOUL),467590恆春,cwahr,2015/5/11 10:00,2.4
201506,紅霞(NOUL),467590恆春,cwahr,2015/5/11 11:00,9.2
201506,紅霞(NOUL),467590恆春,cwahr,2015/5/11 12:00,2.3
201506,紅霞(NOUL),467610成功,cwahr,2015/5/11 06:00,5
201506,紅霞(NOUL),467610成功,cwahr,2015/5/11 07:00,0.4
201506,紅霞(NOUL),467610成功,cwahr,2015/5/11 08:00,7.5
201506,紅霞(NOUL),467610成功,cwahr,2015/5/11 09:00,11.2
201506,紅霞(NOUL),467610成功,cwahr,2015/5/11 10:00,9
201506,紅霞(NOUL),467610成功,cwahr,2015/5/11 11:00,8.8
201506,紅霞(NOUL),467610成功,cwahr,2015/5/11 12:00,1.6
201506,紅霞(NOUL),467610成功,cwahr,2015/5/11 13:00,2.7
201506,紅霞(NOUL),467610成功,cwahr,2015/5/11 14:00,2.6
201506,紅霞(NOUL),467620蘭嶼,cwahr,2015/5/10 16:00,0.5
201506,紅霞(NOUL),467620蘭嶼,cwahr,2015/5/10 23:59,0.5
201506,紅霞(NOUL),467620蘭嶼,cwahr,2015/5/11 01:00,1.5
201506,紅霞(NOUL),467620蘭嶼,cwahr,2015/5/11 02:00,3
