颱風編號,年,月,日,時,緯度,經度,中心氣壓 (hPa),最大風速 (kt),階級,畫像,天氣圖,警報
201506,2015,5,2,6,7.4,144.1,1006,0,2,Image,Chart,Warning
201506,2015,5,2,12,7.8,143.1,1006,0,2,Image,Chart,Warning
201506,2015,5,2,18,8.0,142.5,1006,0,2,Image,Chart,Warning
201506,2015,5,3,0,8.2,142.1,1006,0,2,Image,Chart,Warning
201506,2015,5,3,6,8.5,141.5,1004,0,2,Image,Chart,Warning
201506,2015,5,3,12,9.1,141.1,1004,0,2,Image,Chart,Warning
201506,2015,5,3,18,9.4,140.7,1000,35,3,Image,Chart,Warning
201506,2015,5,4,0,9.6,140.2,998,35,3,Image,Chart,Warning
201506,2015,5,4,6,9.6,139.9,996,35,3,Image,Chart,Warning
201506,2015,5,4,12,9.5,139.6,996,40,3,Image,Chart,Warning
201506,2015,5,4,18,9.5,139.3,994,40,3,Image,Chart,Warning
201506,2015,5,5,0,9.4,139.1,992,45,3,Image,Chart,Warning
201506,2015,5,5,6,9.3,138.8,992,45,3,Image,Chart,Warning
201506,2015,5,5,12,9.3,138.5,990,50,4,Image,Chart,Warning
201506,2015,5,5,18,9.3,138.3,985,60,4,Image,Chart,Warning
201506,2015,5,6,0,9.4,137.6,985,60,4,Image,Chart,Warning
201506,2015,5,6,6,9.5,136.9,980,65,5,Image,Chart,Warning
201506,2015,5,6,12,9.8,136.1,970,75,5,Image,Chart,Warning
201506,2015,5,6,18,10.1,135.2,960,80,5,Image,Chart,Warning
201506,2015,5,7,0,10.6,134.2,960,80,5,Image,Chart,Warning
201506,2015,5,7,6,11.3,133.1,960,80,5,Image,Chart,Warning
201506,2015,5,7,12,11.6,132.0,955,85,5,Image,Chart,Warning
201506,2015,5,7,18,11.8,131.1,955,85,5,Image,Chart,Warning
201506,2015,5,8,0,12.1,130.3,955,85,5,Image,Chart,Warning
201506,2015,5,8,6,12.6,129.2,955,85,5,Image,Chart,Warning
201506,2015,5,8,12,13.4,128.0,955,85,5,Image,Chart,Warning
201506,2015,5,8,18,13.7,127.3,955,85,5,Image,Chart,Warning
201506,2015,5,9,0,14.3,126.4,955,85,5,Image,Chart,Warning
201506,2015,5,9,6,14.9,125.2,945,90,5,Image,Chart,Warning
201506,2015,5,9,12,15.4,124.6,945,90,5,Image,Chart,Warning
201506,2015,5,9,18,16.1,123.9,935,100,5,Image,Chart,Warning
201506,2015,5,10,0,17.0,123.3,920,110,5,Image,Chart,Warning
201506,2015,5,10,6,17.8,122.6,920,110,5,Image,Chart,Warning
201506,2015,5,10,12,18.6,122.4,925,105,5,Image,Chart,Warning
201506,2015,5,10,18,19.6,122.1,930,100,5,Image,Chart,Warning
201506,2015,5,11,0,20.6,122.0,945,90,5,Image,Chart,Warning
201506,2015,5,11,6,21.7,122.2,960,80,5,Image,Chart,Warning
201506,2015,5,11,12,23.4,123.6,975,70,5,Image,Chart,Warning
201506,2015,5,11,18,25.9,125.7,980,65,5,Image,Chart,Warning
201506,2015,5,12,0,28.0,128.4,985,65,5,Image,Chart,Warning
201506,2015,5,12,6,30.4,132.2,994,0,6,Image,Chart,Warning
201506,2015,5,12,12,34.3,138.0,996,0,6,Image,Chart,Warning
201506,2015,5,12,18,38.2,142.2,996,0,6,Image,Chart,Warning
201506,2015,5,13,0,42.6,145.3,994,0,6,Image,Chart,Warning
201506,2015,5,13,6,44.2,147.9,992,0,6,Image,Chart,Warning
201506,2015,5,13,12,45.1,150.9,994,0,6,Image,Chart,Warning
201506,2015,5,13,18,45.6,153.6,994,0,6,Image,Chart,Warning
201506,2015,5,14,0,46.1,157.2,996,0,6,Image,Chart,Warning
201506,2015,5,14,6,46.8,160.3,996,0,6,Image,Chart,Warning
201506,2015,5,14,12,46.8,162.8,994,0,6,Image,Chart,Warning
201506,2015,5,14,18,47.1,165.8,990,0,6,Image,Chart,Warning
201506,2015,5,15,0,47.6,168.8,986,0,6,Image,Chart,Warning
201506,2015,5,15,6,48.3,171.6,986,0,6,Image,Chart,Warning
201506,2015,5,15,12,49.0,174.4,986,0,6,Image,Chart,Warning
201506,2015,5,15,18,49.0,176.8,986,0,6,Image,Chart,Warning
201506,2015,5,16,0,48.7,178.1,986,0,6,Image,Chart,Warning
201515,2015,8,13,18,12.2,151.1,1006,0,2,Image,Chart,Warning
