颱風編號,颱風名稱,測站,最大風風速,最大風風向,瞬間極大風風速,瞬間極大風風向,觀測時間
201506,紅霞(NOUL),466880,3.5,70,7.2,80,2015/5/10 08:00
201506,紅霞(NOUL),466880,4.2,80,8.2,50,2015/5/10 09:00
201506,紅霞(NOUL),466880,4.5,70,11.7,90,2015/5/10 10:00
201506,紅霞(NOUL),466880,4.5,70,9.3,70,2015/5/10 11:00
201506,紅霞(NOUL),466880,4.9,70,8.9,70,2015/5/10 12:00
201506,紅霞(NOUL),466880,4.3,70,9.9,70,2015/5/10 13:00
201506,紅霞(NOUL),466880,4.4,70,8.7,80,2015/5/10 14:00
201506,紅霞(NOUL),466880,3.3,70,7,70,2015/5/10 15:00
201506,紅霞(NOUL),466880,2.8,60,4.6,60,2015/5/10 16:00
201506,紅霞(NOUL),466880,1.7,40,3.8,30,2015/5/10 17:00
201506,紅霞(NOUL),466880,1.8,60,4.1,70,2015/5/10 18:00
201506,紅霞(NOUL),466880,2.2,70,3.8,90,2015/5/10 19:00
201506,紅霞(NOUL),466880,2.3,70,4.5,70,2015/5/10 20:00
201506,紅霞(NOUL),466880,1.6,200,4.9,190,2015/5/10 21:00
201506,紅霞(NOUL),466880,1.4,210,4.3,190,2015/5/10 22:00
201506,紅霞(NOUL),466880,1.5,210,3.5,200,2015/5/10 23:00
201506,紅霞(NOUL),466880,1.4,200,3.2,170,2015/5/10 23:59
201506,紅霞(NOUL),466880,0.7,200,3,180,2015/5/11 01:00
201506,紅霞(NOUL),466880,0.9,220,2.8,200,2015/5/11 02:00
201506,紅霞(NOUL),466880,0.8,220,2.4,200,2015/5/11 03:00
201506,紅霞(NOUL),466880,0.7,200,2.4,200,2015/5/11 04:00
201506,紅霞(NOUL),466880,0.5,190,2.2,170,2015/5/11 05:00
201506,紅霞(NOUL),466880,0.9,240,1.9,240,2015/5/11 06:00
201506,紅霞(NOUL),466880,1.3,220,3.7,180,2015/5/11 07:00
201506,紅霞(NOUL),466880,2.2,230,4.3,240,2015/5/11 08:00
201506,紅霞(NOUL),466880,1.4,210,3.7,170,2015/5/11 09:00
201506,紅霞(NOUL),466880,1.1,210,3.1,200,2015/5/11 10:00
201506,紅霞(NOUL),466880,1.5,240,3,160,2015/5/11 11:00
201506,紅霞(NOUL),466880,1.4,60,3,70,2015/5/11 12:00
201506,紅霞(NOUL),466880,1.6,40,3.4,60,2015/5/11 13:00
201506,紅霞(NOUL),466880,2.3,70,5,90,2015/5/11 14:00
201506,紅霞(NOUL),466880,1.7,70,4,60,2015/5/11 15:00
201506,紅霞(NOUL),466880,0.9,70,2.4,80,2015/5/11 16:00
201506,紅霞(NOUL),466880,1.2,60,2.4,80,2015/5/11 17:00
201506,紅霞(NOUL),466880,0.9,350,2.8,310,2015/5/11 18:00
201506,紅霞(NOUL),466880,0.3,300,1.3,280,2015/5/11 19:00
201506,紅霞(NOUL),466880,0.1,0,1.3,310,2015/5/11 20:00
201506,紅霞(NOUL),466900,4.5,10,9.2,20,2015/5/10 08:00
201506,紅霞(NOUL),466900,5.3,30,10.2,40,2015/5/10 09:00
201506,紅霞(NOUL),466900,4,10,8.2,30,2015/5/10 10:00
201506,紅霞(NOUL),466900,4.6,10,9.2,20,2015/5/10 11:00
201506,紅霞(NOUL),466900,4.7,10,8.2,20,2015/5/10 12:00
201506,紅霞(NOUL),466900,4.1,10,8.3,340,2015/5/10 13:00
201506,紅霞(NOUL),466900,3.8,20,7.3,170,2015/5/10 14:00
201506,紅霞(NOUL),466900,3.6,150,8.6,170,2015/5/10 15:00
201506,紅霞(NOUL),466900,2.8,150,7.8,90,2015/5/10 16:00
